Region,Poblacion ocupada (total), Directores  gerentes y administradores, Profesionales  cientificos e intelectuales, Tecnicos y profesionales de nivel medio, Personal de apoyo administrativo, Trabajadores de los servicios y vendedores de comercios y mercados, Agricultores y trabajadores calificados agropecuarios  forestales y pesqueros, Artesanos y operarios de oficios, Operadores de instalacione  maquinas y ensambladores, Ocupaciones elementales,  Otros no identificados, No sabe  No responde 3
Region de Arica y Parinacota (AP),112.15,2.98,14.95,12.38,6.25,26.41,3.7,14.12,8.87,19.40,3.03,0.08
Region de Tarapaca (TA),187.51,6.95,21.55,23.79,7.50,46.82,3.29,32.48,15.76,26.39,2.57,0.40
Region de Antofagasta (AN),329.18,16.22,51.23,46.57,16.96,62.53,1.50,50.26,37.87,45.27,0.56,0.22
Region de Atacama (AT),139.17,5.10,14.78,18.92,7.34,29.16,3.72,20.86,19.10,20.01,0.07,0.12
Region de Coquimbo (CO),359.23,8.97,45.36,37.61,14.18,79.12,10.91,50.22,37.35,75.52,0.00,0.00
Region de Valparaiso (VA),871.47,2.99,123.97,112.76,32.97,203.28,18.63,123.82,72.08,156.81,3.84,0.32
Region Metropolitana de Santiago (RM),3.999,215.32,795.69,514.88,275.05,812.12,31.39,448.45,272.12,619.05,6.54,8.42
Region del Libertador General Bernardo OHiggins (LI),422.89,8.19,45.64,40.56,13.55,81.53,12.11,62.87,37.50,120.73,0.20,0.00
Region del Maule (ML),471.52,11.56,48.44,44.78,21.59,95.25,23.47,66.83,37.01,122.31,0.28,0.00
Region del Nuble (NB),205.35,3.55,24.28,17.61,8.42,42.44,11.83,29.21,17.09,50.91,0.00,0.00
Region del Biobio (BI),680.17,20.88,95.14,85.84,31.21,145.04,17.01,100.10,56.28,124.86,3.54,0.28
Region de La Araucania (AR),400.27,9.51,56.09,42.73,16.05,78.22,22.90,61.31,37.54,75.44,0.49,0.00
Region de Los Rios (LR),174.77,3.20,22.06,21.15,7.95,34.33,10.14,25.41,12.87,36.92,0.47,0.27
Region de Los Lagos (LL),349.65,10.02,39.96,40.18,18.34,67.17,16.02,49.32,30.92,76.85,0.87,0.00
Region de Aysen del General Carlos Ibanez del Campo (AI),58.52,1.93,7.27,7.08,3.41,11.45,2.32,8.96,4.92,10.62,0.57,0.00
Region de Magallanes y de la Antartica Chilena (MA),92.43,5.51,11.31,12.75,6.42,16.85,2.38,12.40,6.59,15.51,2.72,0.00
